location,property_type,bedrooms,bathrooms,house_size,floor,total_floors,furnished,parking,balcony,age,monthly_rent
Mohakhali,Apartment,3,2,979,2,5,No,No,Yes,9,30000
Bashundhara,Apartment,3,2,1365,2,5,No,Yes,Yes,6,47000
Bashundhara,Apartment,3,3,1619,5,5,Yes,Yes,Yes,8,69000
Bashundhara,Apartment,3,3,1091,1,4,Yes,Yes,Yes,1,50500
Uttara,House,3,3,1318,4,5,No,Yes,Yes,9,41000
Mohakhali,Apartment,3,2,1065,4,8,Yes,No,Yes,2,48000
Mohammadpur,Apartment,3,3,1963,5,9,No,No,Yes,0,52000
Mohammadpur,House,3,2,1782,4,8,No,No,Yes,6,46500
Banani,Apartment,3,3,1049,6,6,No,No,Yes,2,55000
Bashundhara,House,3,2,900,5,5,Yes,Yes,Yes,7,43500
Uttara,Duplex,5,5,2086,1,7,No,Yes,Yes,23,65000
Mohakhali,Apartment,3,2,846,1,10,No,No,Yes,6,28000
Mirpur,Apartment,2,2,899,12,12,Yes,No,Yes,0,29000
Mohammadpur,Apartment,3,2,1086,3,5,No,Yes,Yes,3,32000
Gulshan,House,5,5,1522,9,9,No,No,No,5,80000
Bashundhara,Apartment,3,3,1859,1,4,Yes,Yes,Yes,3,75500
Uttara,Apartment,3,2,883,9,10,No,No,No,27,23000
Mohakhali,Apartment,3,2,1048,5,7,Yes,No,Yes,5,45000
Banani,Apartment,3,3,1279,7,7,Yes,No,Yes,3,71500
Banani,Apartment,3,2,1095,7,8,No,Yes,Yes,2,55000
Bashundhara,Apartment,3,2,1236,1,4,Yes,Yes,Yes,5,53000
Badda,Apartment,2,1,500,5,7,No,No,Yes,4,12500
Mohammadpur,Apartment,2,2,1289,2,5,No,No,Yes,3,34000
Gulshan,Apartment,3,3,1104,3,8,No,No,Yes,1,57500
Uttara,House,3,3,1720,4,8,No,Yes,Yes,6,60000
Gulshan,Apartment,3,2,1243,2,7,Yes,Yes,Yes,4,75500
Badda,Apartment,3,3,1540,10,10,No,Yes,Yes,0,35000
Banani,Apartment,3,4,1599,9,9,No,Yes,No,3,76500
Mohakhali,Apartment,3,3,1247,6,9,No,Yes,Yes,0,42000
Bashundhara,Duplex,4,4,1836,1,7,No,Yes,Yes,5,69000
Uttara,Apartment,3,3,1509,1,5,No,Yes,Yes,0,51000
Mirpur,Apartment,3,2,1031,2,8,No,Yes,Yes,4,29000
Banani,Apartment,2,2,1208,11,12,Yes,Yes,Yes,8,68000
Bashundhara,Apartment,3,2,1171,13,16,No,Yes,Yes,0,44000
Jatrabari,House,4,4,1593,3,9,No,Yes,Yes,1,39000
Gulshan,Apartment,2,1,606,2,6,No,No,Yes,30,28500
Mohammadpur,Apartment,3,3,1788,4,7,No,Yes,Yes,5,51500
Mohakhali,Apartment,3,2,1036,1,8,No,No,Yes,0,32000
Bashundhara,Studio,1,1,540,6,6,No,No,No,3,19000
Mohakhali,Duplex,6,6,2945,4,6,No,Yes,Yes,30,84000
Gulshan,Apartment,1,1,784,5,6,No,No,Yes,15,37500
Gulshan,Apartment,4,3,1537,2,6,No,No,Yes,4,83000
Mirpur,Studio,1,1,440,1,4,No,No,No,6,10000
Mirpur,House,3,3,1331,6,6,No,Yes,Yes,5,37000
Mohakhali,Apartment,2,3,1317,2,7,Yes,Yes,Yes,2,57500
Dhanmondi,Apartment,3,3,1448,5,8,Yes,Yes,Yes,3,70500
Mirpur,Apartment,3,4,1403,2,8,Yes,No,Yes,10,46000
Mohammadpur,Apartment,3,2,853,2,6,No,No,Yes,1,26500
Uttara,Apartment,3,2,1368,1,7,No,No,No,0,38500
Badda,House,5,5,1664,3,12,No,Yes,No,19,38000
Gulshan,Apartment,2,1,500,3,4,No,No,Yes,1,28000
Dhanmondi,Apartment,2,2,1319,1,16,No,No,Yes,4,45000
Uttara,Apartment,3,2,1034,5,6,No,No,Yes,2,33000
Mohammadpur,House,4,4,2002,4,12,No,Yes,Yes,6,59000
Uttara,Apartment,2,2,1257,2,5,No,Yes,Yes,6,41000
Dhanmondi,Duplex,6,6,2601,6,8,No,Yes,Yes,0,123000
Bashundhara,Studio,1,1,611,1,9,No,No,Yes,0,21500
Gulshan,House,3,3,1516,7,9,No,Yes,Yes,0,84000
Dhanmondi,Apartment,3,3,1401,1,4,No,No,Yes,3,51500
Gulshan,Apartment,2,2,1245,8,8,Yes,Yes,Yes,1,73000
Dhanmondi,Apartment,3,3,1584,7,8,Yes,No,Yes,9,70000
Khilgaon,Apartment,2,2,1290,4,12,No,Yes,Yes,0,33500
Khilgaon,Apartment,3,2,1201,2,9,No,Yes,Yes,3,27500
Mohakhali,Duplex,5,5,2781,2,16,No,Yes,Yes,19,86000
Dhanmondi,Studio,1,1,453,3,6,Yes,Yes,Yes,0,30000
Gulshan,House,4,4,1312,8,14,Yes,Yes,No,7,87500
Dhanmondi,Apartment,3,3,913,2,4,No,No,Yes,4,39000
Mohammadpur,Apartment,3,3,1053,5,5,No,No,Yes,0,32500
Dhanmondi,Apartment,2,1,796,11,14,No,No,No,29,22000
Uttara,Apartment,4,4,1537,3,4,Yes,Yes,No,0,67000
Banani,Duplex,5,5,1800,3,9,Yes,Yes,Yes,14,121000
Mohammadpur,Apartment,3,2,1398,3,6,No,Yes,Yes,6,40500
Uttara,Apartment,2,3,1167,5,8,No,No,Yes,0,40500
Mohammadpur,Apartment,2,2,1028,1,4,Yes,Yes,Yes,7,33500
Dhanmondi,Apartment,3,2,1191,3,6,No,No,Yes,11,43000
Uttara,Apartment,4,3,1558,6,12,No,Yes,Yes,8,49500
Bashundhara,Apartment,3,2,813,1,7,No,Yes,Yes,1,28500
Mohakhali,Apartment,3,3,1491,1,6,No,Yes,Yes,1,48000
Gulshan,House,3,3,1453,4,5,No,No,Yes,7,79500
Mirpur,Apartment,3,2,1198,2,8,Yes,No,Yes,0,42500
Mirpur,Apartment,3,2,1216,5,6,No,No,Yes,1,34500
Mohammadpur,Apartment,3,2,901,6,6,No,No,Yes,1,27000
Mohakhali,Apartment,2,2,1220,1,8,No,No,Yes,5,32500
Dhanmondi,Apartment,3,2,1126,1,6,No,No,Yes,6,38500
Dhanmondi,Apartment,2,2,1075,10,16,No,No,Yes,0,41000
Bashundhara,Studio,1,1,342,1,5,No,No,No,1,12500
Bashundhara,Apartment,4,3,1484,2,4,Yes,Yes,Yes,7,62000
Bashundhara,Apartment,4,3,1813,6,7,No,Yes,Yes,5,66000
Mohammadpur,Studio,1,1,432,1,8,Yes,No,No,2,17500
Badda,Apartment,4,3,1427,3,7,No,Yes,Yes,8,39000
Badda,Apartment,3,2,1068,1,8,No,No,Yes,1,22500
Mirpur,House,3,3,1574,2,6,No,No,No,6,36500
Gulshan,Studio,1,1,482,8,12,Yes,No,No,8,31500
Mirpur,Apartment,3,2,1144,4,6,No,No,Yes,0,28000
Mirpur,Apartment,3,2,1299,4,5,No,Yes,Yes,9,34500
Mohakhali,Apartment,2,1,700,1,5,No,No,Yes,6,22500
Dhanmondi,Apartment,3,3,1362,5,5,Yes,No,Yes,3,61500
Bashundhara,Apartment,3,3,1118,5,9,No,Yes,Yes,4,43500
Khilgaon,Duplex,5,5,2308,5,5,No,No,Yes,11,51000
Mirpur,Apartment,3,2,869,5,5,Yes,Yes,Yes,7,35000
Mirpur,Apartment,3,2,1115,4,7,No,Yes,Yes,1,32000
Dhanmondi,Apartment,3,2,1334,3,10,No,No,Yes,1,55500
Bashundhara,Apartment,3,2,1298,5,5,No,No,Yes,4,46000
Banani,House,5,4,1982,3,10,No,No,Yes,7,101500
Dhanmondi,Apartment,3,3,1284,3,7,No,Yes,Yes,4,57500
Mohammadpur,Apartment,3,2,1102,2,6,Yes,No,Yes,2,41500
Bashundhara,Studio,1,1,465,5,6,No,Yes,Yes,17,18500
Gulshan,Apartment,3,3,1245,3,6,No,No,Yes,0,65500
Dhanmondi,Apartment,3,3,1139,4,4,No,Yes,Yes,4,48000
Uttara,Apartment,3,3,1400,2,6,No,No,Yes,5,43000
Mirpur,Duplex,4,4,3145,6,8,No,Yes,Yes,1,85500
Mohakhali,Duplex,5,5,2559,2,7,No,No,Yes,6,89000
Mirpur,Apartment,3,2,872,4,6,No,No,Yes,6,24000
Mohammadpur,Apartment,3,3,1384,4,9,No,Yes,Yes,0,43000
Dhanmondi,Apartment,3,2,1100,6,6,No,Yes,Yes,13,44000
Jatrabari,House,4,4,1435,11,16,No,No,Yes,6,32000
Gulshan,Apartment,2,1,672,5,10,No,No,No,2,36000
Mirpur,Apartment,3,4,1600,5,7,No,Yes,Yes,5,42500
Jatrabari,House,3,3,2219,2,12,No,Yes,Yes,1,44000
Jatrabari,Studio,1,1,539,3,7,No,No,No,2,11500
Mohammadpur,Apartment,2,2,1260,2,4,Yes,No,No,5,44000
Banani,Apartment,4,3,1796,7,9,Yes,Yes,Yes,3,98500
Mirpur,Duplex,6,6,2575,2,9,No,Yes,Yes,5,72500
Uttara,Apartment,2,2,1177,7,10,No,No,No,6,33500
Uttara,House,4,4,1388,5,12,Yes,Yes,Yes,0,64000
Jatrabari,House,3,3,1527,6,7,No,Yes,Yes,3,33000
Bashundhara,Studio,1,1,493,2,4,No,No,Yes,6,17500
Gulshan,Apartment,3,3,1086,2,4,No,No,Yes,5,58000
Banani,Apartment,3,2,988,1,10,No,No,Yes,10,45500
Gulshan,Apartment,3,3,1721,7,10,No,No,Yes,13,77000
Uttara,Apartment,3,3,1710,3,6,No,Yes,Yes,7,55000
Uttara,Apartment,3,2,1212,4,6,No,Yes,No,6,43000
Banani,Apartment,2,2,1023,5,6,No,Yes,Yes,2,51000
Mirpur,Apartment,3,3,1571,3,4,Yes,No,No,1,48000
Dhanmondi,Apartment,3,3,1288,7,7,Yes,Yes,Yes,1,62500
Khilgaon,Studio,1,1,506,5,7,No,No,No,1,12000
Bashundhara,Apartment,3,2,1042,1,5,No,No,Yes,14,34000
Bashundhara,Apartment,2,1,574,2,4,Yes,No,Yes,3,30500
Mirpur,Duplex,4,4,2752,7,7,No,Yes,Yes,6,70500
Mohakhali,Duplex,4,5,2144,1,7,No,Yes,Yes,2,71500
Uttara,Apartment,3,2,1235,6,6,No,No,Yes,8,38000
Dhanmondi,Apartment,4,4,1497,3,6,No,Yes,Yes,28,55000
Bashundhara,Studio,1,1,443,4,5,No,No,Yes,3,18000
Badda,Apartment,2,2,1279,3,5,Yes,Yes,Yes,1,45000
Mirpur,Apartment,4,4,1479,1,8,No,No,Yes,16,31500
Mohakhali,Duplex,5,5,2233,2,8,No,Yes,Yes,3,83500
Banani,Apartment,3,4,1473,12,12,No,Yes,Yes,7,68500
Uttara,Apartment,3,3,1444,2,4,Yes,Yes,Yes,5,59000
Mirpur,Apartment,2,2,1327,5,6,Yes,Yes,Yes,9,47500
Gulshan,House,3,3,1398,5,5,No,Yes,Yes,5,75500
Uttara,House,3,3,1567,2,6,Yes,No,No,2,68500
Badda,Apartment,3,3,1109,3,6,Yes,No,Yes,0,38500
Uttara,Apartment,2,2,1147,1,6,No,Yes,Yes,3,37000
Banani,Apartment,2,2,1253,4,6,No,No,Yes,2,61000
Dhanmondi,Apartment,3,2,879,4,6,No,Yes,Yes,14,33000
Banani,Apartment,3,3,1755,5,6,No,Yes,No,3,85500
Uttara,Apartment,3,2,1049,2,6,No,Yes,Yes,10,36000
Bashundhara,House,5,5,911,1,7,No,No,No,2,34500
Gulshan,Apartment,3,2,1171,6,9,Yes,Yes,Yes,5,75000
Bashundhara,House,3,3,900,5,10,No,No,Yes,3,33000
Banani,Apartment,4,3,1648,1,5,Yes,Yes,Yes,2,88000
Gulshan,Apartment,2,2,876,11,12,Yes,No,Yes,2,51000
Gulshan,Apartment,3,2,1173,3,7,No,Yes,No,8,60500
Banani,Apartment,2,2,851,2,4,Yes,No,Yes,2,50500
Mohammadpur,Apartment,3,3,1403,4,6,No,Yes,Yes,1,40500
Dhanmondi,Apartment,3,2,1229,2,5,Yes,Yes,Yes,2,64500
Mirpur,Apartment,3,3,804,3,5,No,No,Yes,9,23000
Banani,Apartment,2,2,1340,1,4,Yes,No,No,22,65000
Mirpur,Apartment,3,3,1515,2,6,No,No,Yes,4,36500
Mirpur,Apartment,1,1,698,7,8,No,Yes,Yes,13,17000
Jatrabari,Apartment,2,3,1399,2,5,No,No,Yes,2,26000
Mirpur,Apartment,3,3,1686,8,9,No,No,Yes,6,39000
Dhanmondi,Apartment,3,2,1091,1,5,No,Yes,No,3,40500
Gulshan,Apartment,3,2,878,6,8,No,No,Yes,5,51500
Banani,Apartment,4,3,1415,6,10,Yes,No,Yes,2,74500
Bashundhara,Apartment,3,2,1233,5,6,No,Yes,No,6,44000
Mohakhali,Apartment,3,3,1549,1,4,No,Yes,Yes,2,44500
Mohammadpur,Apartment,3,2,896,6,7,Yes,No,Yes,11,32000
Khilgaon,Apartment,3,2,941,1,6,No,No,Yes,0,21500
Gulshan,House,3,3,1577,7,7,No,Yes,No,3,81000
Mirpur,Apartment,3,2,962,5,8,No,No,Yes,3,24500
Jatrabari,Apartment,4,3,1403,3,9,Yes,Yes,Yes,4,47500
Dhanmondi,Apartment,4,4,1476,7,7,Yes,No,No,10,60000
Gulshan,Apartment,3,2,872,4,9,No,No,No,6,47000
Bashundhara,Apartment,3,3,1350,1,6,No,No,Yes,2,47500
Khilgaon,Apartment,3,2,1260,2,9,No,No,Yes,2,29000
Gulshan,Apartment,3,3,824,5,6,No,No,Yes,25,39000
Gulshan,Apartment,3,2,956,1,8,No,Yes,Yes,3,55500
Mohakhali,Apartment,1,1,695,1,5,No,No,Yes,1,19000
Gulshan,Apartment,3,2,943,4,5,No,Yes,Yes,0,52000
Uttara,Apartment,3,2,1351,6,8,No,Yes,Yes,1,50500
Mirpur,Apartment,4,3,1662,14,16,No,Yes,Yes,9,37000
Khilgaon,Apartment,2,2,1023,6,6,Yes,Yes,Yes,3,37000
Mirpur,Duplex,5,5,2229,2,6,No,Yes,Yes,10,61500
Mohakhali,House,5,5,1067,1,5,No,Yes,Yes,0,46000
Mohakhali,House,4,4,1059,3,5,No,Yes,Yes,5,42000
Uttara,Duplex,5,5,2068,4,4,No,Yes,Yes,12,72000
Bashundhara,Studio,1,1,618,8,12,No,Yes,Yes,1,26500
Banani,Apartment,2,1,708,3,8,Yes,No,No,0,43000
Dhanmondi,Apartment,3,3,1544,1,4,Yes,No,Yes,5,63000
Mirpur,Apartment,1,1,781,2,9,No,Yes,Yes,2,20500
Mirpur,Apartment,4,3,1639,13,14,Yes,Yes,Yes,3,58500
Jatrabari,Apartment,3,2,1020,4,9,No,Yes,Yes,7,26000
Banani,Apartment,2,1,536,3,5,No,Yes,No,1,32000
Khilgaon,Duplex,5,5,2167,6,6,No,Yes,Yes,1,54500
Mirpur,Apartment,2,3,881,4,7,No,No,Yes,8,21500
Uttara,Apartment,3,2,870,4,4,No,No,No,0,30000
Bashundhara,Apartment,2,2,1392,1,8,No,Yes,Yes,1,45500
Mirpur,Apartment,3,2,883,9,9,No,No,Yes,5,22000
Dhanmondi,Apartment,3,2,1011,1,6,Yes,Yes,Yes,1,48000
Bashundhara,Apartment,3,2,984,1,8,No,No,Yes,2,30500
Bashundhara,Apartment,4,4,1519,5,8,No,No,Yes,0,57000
Dhanmondi,Duplex,4,5,2070,4,7,No,No,Yes,0,88000
Bashundhara,Apartment,3,2,1253,5,6,No,No,Yes,20,39000
Uttara,Apartment,3,3,1558,2,6,Yes,Yes,Yes,6,67500
